Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CU19,100n,C_0603_1608Metric,112.5105,-228.602514,180.0,top
CU20,100n,C_0603_1608Metric,108.0105,-237.102514,180.0,top
CU21,100n,C_0603_1608Metric,114.110005,-56.4845,180.0,top
CU22,100n,C_0603_1608Metric,109.574005,-65.4845,180.0,top
CU23,100n,C_0603_1608Metric,123.2875,-125.384264,180.0,top
CU24,100n,C_0603_1608Metric,119.0865,-133.494764,180.0,top
CU25,100n,C_0603_1608Metric,125.75,-142.829264,180.0,top
CU26,100n,C_0603_1608Metric,121.15,-151.517264,180.0,top
CU27,100n,C_0603_1608Metric,123.85,-165.517264,180.0,top
CU28,100n,C_0603_1608Metric,119.339,-174.317264,180.0,top
CU29,100n,C_0603_1608Metric,126.597,-228.597278,180.0,top
CU30,100n,C_0603_1608Metric,122.097,-237.097278,180.0,top
CU31,100n,C_0603_1608Metric,128.196505,-56.479264,180.0,top
CU32,100n,C_0603_1608Metric,123.660505,-65.479264,180.0,top
CU33,100n,C_0603_1608Metric,137.4375,-125.355,180.0,top
CU34,100n,C_0603_1608Metric,133.2365,-133.4655,180.0,top
CU35,100n,C_0603_1608Metric,139.9,-142.8,180.0,top
CU36,100n,C_0603_1608Metric,135.3,-151.488,180.0,top
CU37,100n,C_0603_1608Metric,138.0,-165.488,180.0,top
CU38,100n,C_0603_1608Metric,133.489,-174.288,180.0,top
CU39,100n,C_0603_1608Metric,140.747,-228.568014,180.0,top
CU40,100n,C_0603_1608Metric,136.247,-237.068014,180.0,top
CU41,100n,C_0603_1608Metric,142.346505,-56.45,180.0,top
CU42,100n,C_0603_1608Metric,137.810505,-65.45,180.0,top
CU43,100n,C_0603_1608Metric,165.6375,-125.355736,180.0,top
CU44,100n,C_0603_1608Metric,161.4365,-133.466236,180.0,top
CU45,100n,C_0603_1608Metric,168.1,-142.800736,180.0,top
CU46,100n,C_0603_1608Metric,163.5,-151.488736,180.0,top
CU47,100n,C_0603_1608Metric,166.2,-165.488736,180.0,top
CU48,100n,C_0603_1608Metric,161.689,-174.288736,180.0,top
CU49,100n,C_0603_1608Metric,168.947,-228.56875,180.0,top
CU50,100n,C_0603_1608Metric,164.447,-237.06875,180.0,top
CU51,100n,C_0603_1608Metric,170.546505,-56.450736,180.0,top
CU52,100n,C_0603_1608Metric,166.010505,-65.450736,180.0,top
CU53,100n,C_0603_1608Metric,151.5375,-125.355736,180.0,top
CU54,100n,C_0603_1608Metric,147.3365,-133.466236,180.0,top
CU55,100n,C_0603_1608Metric,154.0,-142.800736,180.0,top
CU56,100n,C_0603_1608Metric,149.4,-151.488736,180.0,top
CU57,100n,C_0603_1608Metric,152.1,-165.488736,180.0,top
CU58,100n,C_0603_1608Metric,147.589,-174.288736,180.0,top
CU59,100n,C_0603_1608Metric,154.847,-228.56875,180.0,top
CU60,100n,C_0603_1608Metric,150.347,-237.06875,180.0,top
CU61,100n,C_0603_1608Metric,156.446505,-56.450736,180.0,top
CU62,100n,C_0603_1608Metric,151.910505,-65.450736,180.0,top
CU63,100n,C_0603_1608Metric,179.7375,-125.355736,180.0,top
CU64,100n,C_0603_1608Metric,175.5365,-133.466236,180.0,top
CU65,100n,C_0603_1608Metric,182.2,-142.800736,180.0,top
CU66,100n,C_0603_1608Metric,177.6,-151.488736,180.0,top
CU67,100n,C_0603_1608Metric,180.3,-165.488736,180.0,top
CU68,100n,C_0603_1608Metric,175.789,-174.288736,180.0,top
CU69,100n,C_0603_1608Metric,183.047,-228.56875,180.0,top
CU70,100n,C_0603_1608Metric,178.547,-237.06875,180.0,top
CU71,100n,C_0603_1608Metric,184.646505,-56.450736,180.0,top
CU72,100n,C_0603_1608Metric,180.110505,-65.450736,180.0,top
